"iso3166","alpha2","alpha3","populationSize","worstCaseTotal","worstCasePercent"
"296","ki","kir","118000","239","0.002027712"
"583","fm","fsm","115000","267","0.002317948"
"776","to","ton","104000","370","0.003556000"
"678","st","stp","220000","433","0.001966855"
"690","sc","syc","96000","495","0.005152875"
"882","ws","wsm","200000","593","0.002965090"
"548","vu","vut","308000","660","0.002143818"
"28","ag","atg","99000","725","0.007322283"
"308","gd","grd","114000","751","0.006586053"
"670","vc","vct","111000","753","0.006783928"
"175","yt","myt","272000","787","0.002893824"
"533","aw","abw","108000","1038","0.009608370"
"254","gf","guf","298000","1057","0.003548000"
"316","gu","gum","168000","1098","0.006537357"
"850","vi","vir","103000","1210","0.011746757"
"732","eh","esh","598000","1275","0.002131806"
"462","mv","mdv","541000","1479","0.002734174"
"662","lc","lca","182000","1486","0.008162868"
"258","pf","pyf","281000","1495","0.005319872"
"96","bn","brn","435000","1553","0.003570740"
"84","bz","blz","395000","1606","0.004066810"
"90","sb","slb","687000","1615","0.002351444"
"540","nc","ncl","286000","1669","0.005834629"
"174","km","com","872000","1787","0.002049032"
"44","bs","bhs","394000","1924","0.004882421"
"531","cw","cuw","163000","2206","0.013531914"
"226","gq","gnq","1404000","2261","0.001610593"
"132","cv","cpv","557000","2342","0.004204215"
"830",,,"173000","2469","0.014270740"
"748","sz","swz","1162000","2958","0.002545986"
"262","dj","dji","987000","3027","0.003066802"
"740","sr","sur","588000","3077","0.005232170"
"242","fj","fji","894000","3079","0.003443779"
"624","gw","gnb","1968000","3376","0.001715198"
"626","tl","tls","1318000","3567","0.002706161"
"64","bt","btn","771000","3579","0.004641515"
"270","gm","gmb","2417000","3842","0.001589665"
"48","bh","bhr","1700000","3902","0.002295282"
"352","is","isl","339000","3990","0.011770442"
"328","gy","guy","786000","4441","0.005649883"
"52","bb","brb","288000","4455","0.015467118"
"634","qa","qat","2881000","4789","0.001662294"
"266","ga","gab","2225000","5250","0.002359331"
"446","mo","mac","649000","5989","0.009227667"
"516","na","nam","2539000","6430","0.002532400"
"312","gp","glp","400000","6615","0.016537975"
"72","bw","bwa","2352000","6695","0.002846498"
"499","me","mne","628000","6786","0.010805156"
"426","ls","lso","2144000","7108","0.003315127"
"474","mq","mtq","373000","7155","0.019182885"
"470","mt","mlt","442000","7598","0.017189240"
"442","lu","lux","625000","7816","0.012505533"
"140","cf","caf","4829000","8737","0.001809347"
"638","re","reu","895000","8990","0.010045240"
"178","cg","cog","5517000","9923","0.001798553"
"478","mr","mrt","4650000","10059","0.002163154"
"232","er","eri","3546000","10269","0.002895852"
"414","kw","kwt","4270000","10532","0.002466445"
"496","mn","mng","3279000","10568","0.003222803"
"275","ps","pse","5099000","10911","0.002139872"
"430","lr","lbr","5057000","11061","0.002187228"
"480","mu","mus","1273000","11149","0.008758266"
"780","tt","tto","1398000","11338","0.008110389"
"512","om","omn","5108000","11487","0.002248824"
"196","cy","cyp","1206000","13051","0.010821431"
"784","ae","are","9892000","14954","0.001511773"
"768","tg","tgo","8280000","15118","0.001825805"
"694","sl","sle","7975000","15124","0.001896459"
"108","bi","bdi","11890000","18630","0.001566885"
"807","mk","mkd","2083000","18961","0.009102579"
"598","pg","png","8947000","19795","0.002212522"
"418","la","lao","7278000","20288","0.002787638"
"388","jm","jam","2960000","20817","0.007032732"
"795","tm","tkm","6033000","21736","0.003602796"
"762","tj","tjk","9538000","22060","0.002312806"
"417","kg","kgz","6525000","22887","0.003507649"
"233","ee","est","1326000","22891","0.017263018"
"434","ly","lby","6871000","23016","0.003349668"
"324","gn","gin","13132000","23486","0.001788453"
"728","ss","ssd","11191000","24854","0.002220863"
"204","bj","ben","12122000","26311","0.002170549"
"148","td","tcd","16426000","26655","0.001622737"
"646","rw","rwa","12952000","26752","0.002065440"
"894","zm","zmb","18385000","26883","0.001462221"
"51","am","arm","2959000","27092","0.009155637"
"400","jo","jor","10201000","28895","0.002832541"
"706","so","som","15895000","29011","0.001825167"
"558","ni","nic","6622000","29333","0.004429670"
"8","al","alb","2879000","29676","0.010307601"
"716","zw","zwe","14863000","30031","0.002020549"
"466","ml","mli","20251000","31598","0.001560311"
"591","pa","pan","4312000","32028","0.007427680"
"854","bf","bfa","20904000","32648","0.001561825"
"454","mw","mwi","19131000","32745","0.001711623"
"686","sn","sen","16744000","33143","0.001979413"
"498","md","mda","4034000","33561","0.008319421"
"705","si","svn","2078000","34951","0.016819308"
"600","py","pry","7133000","34987","0.004905016"
"428","lv","lva","1888000","36159","0.019152267"
"422","lb","lbn","6823000","37675","0.005521762"
"562","ne","ner","24207000","38060","0.001572263"
"340","hn","hnd","9906000","40172","0.004055345"
"70","ba","bih","3279000","40255","0.012276687"
"332","ht","hti","11402000","41626","0.003650790"
"188","cr","cri","5093000","42426","0.008330275"
"222","sv","slv","6487000","42555","0.006560028"
"268","ge","geo","3988000","45194","0.011332469"
"120","cm","cmr","26545000","45977","0.001732032"
"384","ci","civ","26378000","47160","0.001787860"
"24","ao","ago","32866000","49886","0.001517867"
"31","az","aze","10139000","51107","0.005040607"
"858","uy","ury","3473000","51256","0.014758562"
"116","kh","khm","16719000","52338","0.003130444"
"440","lt","ltu","2723000","52740","0.019368494"
"630","pr","pri","2859000","52943","0.018517887"
"372","ie","irl","4940000","55272","0.011188686"
"702","sg","sgp","5851000","55642","0.009509803"
"508","mz","moz","31258000","56965","0.001822415"
"887","ye","yem","29825000","57363","0.001923315"
"450","mg","mdg","27690000","58619","0.002116988"
"800","ug","uga","45741000","60282","0.001317893"
"760","sy","syr","17500000","61007","0.003486112"
"703","sk","svk","5460000","63693","0.011665371"
"554","nz","nzl","4820000","63794","0.013235183"
"288","gh","gha","31070000","64693","0.002082173"
"4","af","afg","38927000","66672","0.001712732"
"214","do","dom","10849000","68422","0.006306748"
"191","hr","hrv","4105000","68531","0.016694473"
"320","gt","gtm","17915000","70215","0.003919325"
"68","bo","bol","11673000","73538","0.006299802"
"788","tn","tun","11819000","75242","0.006366182"
"578","no","nor","5422000","79047","0.014579027"
"376","il","isr","8658000","89414","0.010327345"
"404","ke","ken","53772000","90476","0.001682588"
"208","dk","dnk","5791000","92466","0.015967220"
"368","iq","irq","40224000","92675","0.002303980"
"682","sa","sau","34814000","96131","0.002761270"
"246","fi","fin","5539000","100320","0.018111618"
"834","tz","tza","59736000","101873","0.001705393"
"100","bg","bgr","6949000","105454","0.015175484"
"398","kz","kaz","18779000","105995","0.005644316"
"729","sd","sdn","43849000","108174","0.002466977"
"524","np","npl","29137000","108244","0.003715013"
"218","ec","ecu","17644000","108275","0.006136657"
"688","rs","srb","8738000","110995","0.012702588"
"112","by","blr","9449000","114394","0.012106502"
"860","uz","uzb","33468000","118200","0.003531727"
"344","hk","hkg","7499000","125610","0.016750252"
"348","hu","hun","9661000","143901","0.014895044"
"756","ch","che","8657000","146603","0.016934584"
"192","cu","cub","11326000","150121","0.013254587"
"40","at","aut","9005000","152923","0.016981958"
"203","cz","cze","10708000","155433","0.014515628"
"144","lk","lka","21414000","158860","0.007418522"
"458","my","mys","32367000","160273","0.004951747"
"862","ve","ven","28437000","172302","0.006059063"
"752","se","swe","10098000","173951","0.017226277"
"408","kp","prk","25778000","176653","0.006852874"
"180","cd","cod","89562000","177446","0.001981266"
"504","ma","mar","36911000","183156","0.004962108"
"152","cl","chl","19116000","192657","0.010078289"
"56","be","bel","11591000","201559","0.017389299"
"620","pt","prt","10195000","202137","0.019827073"
"710","za","zaf","59307000","208301","0.003512256"
"604","pe","per","32971000","215125","0.006524673"
"104","mm","mmr","54410000","216493","0.003978924"
"12","dz","dza","43852000","217013","0.004948755"
"300","gr","grc","10423000","220791","0.021183038"
"231","et","eth","114962000","271501","0.002361663"
"528","nl","nld","17136000","275761","0.016092493"
"642","ro","rou","19238000","279240","0.014515015"
"158","tw","twn","23817000","305382","0.012822008"
"566","ng","nga","206142000","344549","0.001671418"
"36","au","aus","25500000","351563","0.013786792"
"170","co","col","50882000","358229","0.007040380"
"818","eg","egy","102334000","363974","0.003556725"
"364","ir","irn","83994000","383546","0.004566346"
"32","ar","arg","45195000","409204","0.009054196"
"608","ph","phl","109581000","417674","0.003811558"
"792","tr","tur","84337000","544893","0.006460902"
"804","ua","ukr","43733000","550969","0.012598471"
"616","pl","pol","37849000","566249","0.014960744"
"124","ca","can","37742000","573064","0.015183711"
"410","kr","kor","51269000","630266","0.012293308"
"586","pk","pak","220893000","661725","0.002995683"
"50","bd","bgd","164688000","697047","0.004232532"
"764","th","tha","69801000","702529","0.010064741"
"704","vn","vnm","97339000","706082","0.007253844"
"484","mx","mex","128934000","797505","0.006185371"
"724","es","esp","46753000","906918","0.019398074"
"826","gb","gbr","67887000","1105097","0.016278481"
"360","id","idn","273523000","1163770","0.004254743"
"250","fr","fra","65274000","1269819","0.019453674"
"380","it","ita","60463000","1328013","0.021964064"
"76","br","bra","212559000","1580758","0.007436797"
"276","de","deu","83784000","1685812","0.020120924"
"643","ru","rus","145936000","1738439","0.011912337"
"392","jp","jpn","126477000","3430323","0.027122107"
"840","us","usa","331002000","4620032","0.013957716"
"356","in","ind","1380004000","6086349","0.004410385"
"156","cn","chn","1439323000","11240792","0.007809778"
