"stateName","statewideOrCountyName","populationSize","worstCaseTotal","worstCasePercent"
"Alabama","Statewide","4903185","69309","0.01413550"
"Alabama","Autauga County","55869","742","0.01327830"
"Alabama","Baldwin County","223234","3592","0.01608960"
"Alabama","Barbour County","24686","378","0.01530340"
"Alabama","Bibb County","22394","303","0.01355130"
"Alabama","Blount County","57826","863","0.01492130"
"Alabama","Bullock County","10101","144","0.01421260"
"Alabama","Butler County","19448","366","0.01884020"
"Alabama","Calhoun County","113605","1637","0.01441040"
"Alabama","Chambers County","33254","555","0.01667880"
"Alabama","Cherokee County","26196","476","0.01817790"
"Alabama","Chilton County","44428","614","0.01381560"
"Alabama","Choctaw County","12589","251","0.01994940"
"Alabama","Clarke County","23622","414","0.01753250"
"Alabama","Clay County","13235","234","0.01771160"
"Alabama","Cleburne County","14910","246","0.01646880"
"Alabama","Coffee County","52342","742","0.01416990"
"Alabama","Colbert County","55241","928","0.01680100"
"Alabama","Conecuh County","12067","235","0.01950130"
"Alabama","Coosa County","10663","208","0.01951300"
"Alabama","Covington County","37049","688","0.01857860"
"Alabama","Crenshaw County","13772","221","0.01603360"
"Alabama","Cullman County","83768","1213","0.01448400"
"Alabama","Dale County","49172","704","0.01430760"
"Alabama","Dallas County","37196","562","0.01510120"
"Alabama","DeKalb County","71513","992","0.01387220"
"Alabama","Elmore County","81209","975","0.01200600"
"Alabama","Escambia County","36633","544","0.01483790"
"Alabama","Etowah County","102268","1555","0.01520760"
"Alabama","Fayette County","16302","273","0.01675050"
"Alabama","Franklin County","31362","444","0.01417170"
"Alabama","Geneva County","26271","445","0.01694010"
"Alabama","Greene County","8111","161","0.01979480"
"Alabama","Hale County","14651","248","0.01694430"
"Alabama","Henry County","17205","320","0.01860610"
"Alabama","Houston County","105882","1580","0.01492580"
"Alabama","Jackson County","51626","822","0.01592340"
"Alabama","Jefferson County","658573","9222","0.01400290"
"Alabama","Lamar County","13805","264","0.01912080"
"Alabama","Lauderdale County","92729","1569","0.01691880"
"Alabama","Lawrence County","32924","488","0.01481930"
"Alabama","Lee County","164542","1574","0.00956320"
"Alabama","Limestone County","98915","1191","0.01204040"
"Alabama","Lowndes County","9726","162","0.01666740"
"Alabama","Macon County","18068","299","0.01655540"
"Alabama","Madison County","372909","4858","0.01302850"
"Alabama","Marengo County","18863","328","0.01739720"
"Alabama","Marion County","29709","541","0.01821560"
"Alabama","Marshall County","96774","1366","0.01411340"
"Alabama","Mobile County","413210","5593","0.01353590"
"Alabama","Monroe County","20733","383","0.01845850"
"Alabama","Montgomery County","226486","2967","0.01310090"
"Alabama","Morgan County","119679","1730","0.01445220"
"Alabama","Perry County","8923","163","0.01823780"
"Alabama","Pickens County","19930","325","0.01628640"
"Alabama","Pike County","33114","425","0.01282140"
"Alabama","Randolph County","22722","384","0.01689800"
"Alabama","Russell County","57961","689","0.01188230"
"Alabama","St. Clair County","89512","1149","0.01283640"
"Alabama","Shelby County","217702","2778","0.01276140"
"Alabama","Sumter County","12427","218","0.01753360"
"Alabama","Talladega County","79978","1144","0.01430340"
"Alabama","Tallapoosa County","40367","681","0.01687410"
"Alabama","Tuscaloosa County","209355","2343","0.01119170"
"Alabama","Walker County","63521","938","0.01477180"
"Alabama","Washington County","16326","258","0.01580300"
"Alabama","Wilcox County","10373","174","0.01677260"
"Alabama","Winston County","23629","431","0.01824210"
"Alaska","Statewide","731545","6551","0.00895460"
"Alaska","Aleutians East Borough","3337","29","0.00872430"
"Alaska","Aleutians West Census Area","5634","27","0.00486920"
"Alaska","Municipality of Anchorage","288000","2585","0.00897530"
"Alaska","Bethel Census Area","18386","94","0.00512770"
"Alaska","Bristol Bay Borough","836","9","0.01116310"
"Alaska","Denali Borough","2097","12","0.00580760"
"Alaska","Dillingham Census Area","4916","35","0.00719460"
"Alaska","Fairbanks North Star Borough","96849","724","0.00747980"
"Alaska","Haines Borough","2530","40","0.01581410"
"Alaska","Hoonah-Angoon Census Area","2148","34","0.01579820"
"Alaska","City and Borough of Juneau","31974","312","0.00975780"
"Alaska","Kenai Peninsula Borough","58708","719","0.01224690"
"Alaska","Ketchikan Gateway Borough","13901","170","0.01222200"
"Alaska","Kodiak Island Borough","12998","103","0.00795470"
"Alaska","Kusilvak Census Area","8314","36","0.00432570"
"Alaska","Lake and Peninsula Borough","1592","14","0.00858330"
"Alaska","Matanuska-Susitna Borough","108317","940","0.00867560"
"Alaska","Nome Census Area","10004","55","0.00548710"
"Alaska","North Slope Borough","9832","56","0.00572210"
"Alaska","Northwest Arctic Borough","7621","52","0.00677130"
"Alaska","Petersburg Census Area","3266","50","0.01540430"
"Alaska","Prince of Wales-Hyder Census Area","6203","66","0.01063690"
"Alaska","Sitka City and Borough","8493","112","0.01314660"
"Alaska","Skagway Municipality","1183","13","0.01136260"
"Alaska","Southeast Fairbanks Census Area","6893","71","0.01029700"
"Alaska","Valdez-Cordova Census Area","9202","83","0.00899380"
"Alaska","Wade Hampton Census Area","0","0","0.00000000"
"Alaska","Wrangell City and Borough","2502","45","0.01807040"
"Alaska","Yakutat City and Borough","579","10","0.01667500"
"Alaska","Yukon-Koyukuk Census Area","5230","53","0.01021230"
"Arizona","Statewide","7278717","107884","0.01482186"
"Arizona","Apache County","71887","904","0.01258052"
